493,571.59,608.36,614.1,565.57,39,7.9
457,82.06,78.58,82.18,78.03,37,5.05
398,132.52,131.24,132.85,130.63,26,1.67
339,14.43,13.95,14.76,13.81,75,6.44
194,30.12,32.29,32.6,30.04,69,7.85
166,61.35,58.03,61.89,57.14,61,7.67
159,9.44,8.62,9.49,8.51,134,10.33
1670,712.7,762.32,763,710.66,58,6.86
1450,23.19,25.42,25.66,23.12,75,9.9
688,132.44,134.43,134.66,131.93,26,2.03
638,141.88,140.99,145.38,132,226,9.2
218,156.86,159.48,159.93,156.53,11,2.13
216,74.69,82.05,83.41,73.51,84,11.87
214,243.66,241.89,245.69,239.69,39,2.44
214,13.23,14.85,15.05,13.03,95,13.42
190,79.67,80.19,80.72,78.98,37,2.16
181,609.26,627.18,628,605.03,38,3.66
147,16.39,18.32,18.53,16.28,104,12.14
1600,770.7,732.23,780.79,728.03,59,6.76
1590,25.35,23.7,26.2,23.65,80,9.73
725,143.57,166.53,174.09,143,227,17.86
508,134.94,132.03,135,131.66,31,2.47
274,60.8,50.16,61.55,49.3,173,19.9
177,274.13,258.4,278.13,256.58,58,7.75
149,50.96,42.97,50.98,42.26,182,17.1
147,13.58,13.73,14.3,13.56,87,5.17
133,79.11,75.35,80.57,74.05,82,8.09
131,79.88,78.55,80.13,77.94,39,2.73
