Date,Stock,Tickers,Open,Close,High,Low,IV under,IV over,price change %
,TSLA,899,684.59,670,699.62,668.75,94.20%,,-2.13%
,AMC,707,13.15,12.49,13.19,11.76,155.07%,,-5.02%
,PLTR,511,24.89,24.22,24.92,23.86,67.99%,,-2.69%
,AAPL,437,120.33,123.39,123.87,120.26,38.91%,,2.54%
,RKT,180,23.24,22.99,23.46,22.84,97.09%,,-1.08%
,NIO,166,44.07,42.94,44.56,42.58,110.96%,,-2.56%
,UPST,162,127.94,164.87,165.66,124.05,283.48%,,28.87%
,MOON,126,44.98,44.3,45.13,43.28,null,,-1.51%
,AMD,123,79.99,80.3,81.26,79.22,52.62%,,0.39%
,APHA,108,19.46,18.76,19.66,18.62,106.68%,,-3.60%
3/23/21,,,,,,,,,
,SPY,3020,391.89,389.5,393.45,388.66,12.53%,,-0.61%
,GME,2690,197.5,181.75,201.75,177.55,350.22%,,-7.97%
,AMC,628,11.46,10.66,11.93,10.37,195.01%,,-6.98%
,PLTR,620,24,23.26,24.1,23.1,90.27%,,-3.08%
,TSLA,474,675.77,662.16,677.8,657.51,81.73%,,-2.01%
,RKT,378,23.33,23.04,24.69,22.96,88.08%,,-1.24%
,AMD,316,80.13,78.38,80.34,77.95,48.39%,,-2.18%
,AAPL,299,123.33,122.54,124.24,122.14,34.53%,,-0.64%
,INTC,265,66,63.48,66.05,63.17,47.28%,,-3.82%
,UPST,139,159.97,118.48,164.06,115.58,152.62%,,-25.94%
,QQQ,128,319.73,317.22,321.09,316.38,32.60%,,-0.79%
,NIO,124,42.58,41.18,43.11,40.98,108.08%,,-3.29%
3/24/21,,,,,,,,,
,SPY,3340,391,387.52,392.75,387.47,16.45%,,-0.89%
,GME,2680,157.98,120.34,166.97,118.62,275.11%,,-23.83%
,PLTR,779,23.3,21.88,23.49,21.75,64.58%,,-6.09%
,AMC,568,10.82,9.02,11.21,8.93,171.59%,,-16.64%
,TSLA,566,667.91,630.27,668.02,630.11,88.73%,,-5.64%
,NIO,437,41.2,36.96,41.29,36.58,110.38%,,-10.29%
,AAPL,280,122.82,120.09,122.9,120.07,37.63%,,-2.22%
,AMD,209,77.55,76.48,78.8,76.4,49.28%,,-1.38%
,RKT,172,23.32,22.52,23.57,22.48,88.30%,,-3.43%
,DIS,144,190.06,184.72,190.5,184.64,32.80%,,-2.81%
,CRSR,139,32.12,30.8,32.77,30.71,51.44%,,-4.11%
,INTC,126,66.58,62.04,67.44,61.99,38.14%,,-6.82%
3/25/21,,,,,,,,,
,SPY,3210,,,,,16.94%,,#DIV/0!
,GME,2120,,,,,412.27%,,#DIV/0!
,AMC,614,,,,,204.47%,,#DIV/0!
,TSLA,567,,,,,70.76%,,#DIV/0!
,PLTR,505,,,,,74.16%,,#DIV/0!
,AAPL,327,,,,,32.90%,,#DIV/0!
,NIO,285,,,,,114.89%,,#DIV/0!
,CRSR,256,,,,,64.65%,,#DIV/0!
,QQQ,144,,,,,27.02%,,#DIV/0!
,AMD,130,,,,,41.94%,,#DIV/0!
,GLD,112,,,,,16.76%,,#DIV/0!
,BB,112,,,,,110.95%,,#DIV/0!
3/26/21,,,,,,,,,
,SPY,2390,390.98,395.98,396.41,390.29,,,
,GME,1420,197.68,181,218.93,163.26,,,
,TSLA,846,641.87,618.71,643.82,599.89,,,
,PLTR,450,22.63,22.58,23.05,21.76,,,
,NIO,418,35.65,36.13,36.65,34,,,
,AAPL,349,120.35,121.21,121.48,118.92,,,
,AMC,337,11.27,10.24,11.53,10.01,,,
,VIAC,270,65.75,48.23,66.27,39.81,,,
,RKT,204,22.3,23.91,24.13,22.09,,,
,FUBO,132,26,21.88,26.67,20.69,,,
,ROOT,130,13.5,14.34,15.41,13.12,,,
,BIDU,112,190.84,208.61,109.32,174.05,,,
